Hour,City,Relative Humidity (%)
2024-12-08T08:00,Mumbai,28
2024-12-08T09:00,Mumbai,28
2024-12-08T10:00,Mumbai,29
2024-12-08T11:00,Mumbai,31
2024-12-08T12:00,Mumbai,38
2024-12-08T13:00,Cape Town,40
2024-12-08T14:00,Cape Town,43
2024-12-08T15:00,Mumbai,49
2024-12-08T16:00,Mumbai,51
2024-12-08T17:00,New York,53
2024-12-08T18:00,New York,52
2024-12-08T19:00,Tokyo,44
2024-12-08T20:00,Tokyo,45
2024-12-08T21:00,Tokyo,46
2024-12-08T22:00,Tokyo,45
2024-12-08T23:00,Tokyo,43
2024-12-09T00:00,Tokyo,40
2024-12-09T01:00,Tokyo,36
2024-12-09T02:00,Tokyo,31
2024-12-09T03:00,Tokyo,28
2024-12-09T04:00,Tokyo,28
2024-12-09T05:00,Tokyo,29
2024-12-09T06:00,Mumbai,26
2024-12-09T07:00,Mumbai,23
2024-12-09T08:00,Mumbai,23
2024-12-09T09:00,Mumbai,24
2024-12-09T10:00,Mumbai,25
2024-12-09T11:00,Mumbai,27
2024-12-09T12:00,Mumbai,30
2024-12-09T13:00,Mumbai,33
2024-12-09T14:00,Mumbai,37
2024-12-09T15:00,Mumbai,41
2024-12-09T16:00,Mumbai,44
2024-12-09T17:00,Mumbai,46
2024-12-09T18:00,Mumbai,48
2024-12-09T19:00,Mumbai,48
2024-12-09T20:00,Mumbai,48
2024-12-09T21:00,Mumbai,47
2024-12-09T22:00,Mumbai,46
2024-12-09T23:00,Mumbai,45
2024-12-10T00:00,Mumbai,45
2024-12-10T01:00,Mumbai,46
2024-12-10T02:00,Tokyo,42
2024-12-10T03:00,Tokyo,38
2024-12-10T04:00,Tokyo,35
2024-12-10T05:00,Tokyo,33
2024-12-10T06:00,Mumbai,28
2024-12-10T07:00,Mumbai,26
2024-12-10T08:00,Mumbai,27
2024-12-10T09:00,Mumbai,29
2024-12-10T10:00,Mumbai,34
2024-12-10T11:00,Mumbai,41
2024-12-10T12:00,Mumbai,47
2024-12-10T13:00,Tokyo,51
2024-12-10T14:00,Tokyo,51
2024-12-10T15:00,Tokyo,53
2024-12-10T16:00,Tokyo,59
2024-12-10T17:00,Mumbai,63
2024-12-10T18:00,Mumbai,64
2024-12-10T19:00,Mumbai,63
2024-12-10T20:00,Mumbai,60
2024-12-10T21:00,Mumbai,58
2024-12-10T22:00,Mumbai,57
2024-12-10T23:00,Sydney,52
2024-12-11T00:00,Sydney,39
2024-12-11T01:00,Sydney,29
2024-12-11T02:00,Sydney,22
2024-12-11T03:00,Sydney,17
2024-12-11T04:00,Sydney,15
2024-12-11T05:00,Sydney,16
2024-12-11T06:00,Sydney,17
2024-12-11T07:00,Sydney,18
2024-12-11T08:00,Sydney,18
2024-12-11T09:00,Sydney,20
2024-12-11T10:00,Sydney,23
2024-12-11T11:00,Sydney,26
2024-12-11T12:00,Sydney,30
2024-12-11T13:00,Sydney,34
2024-12-11T14:00,Sydney,38
2024-12-11T15:00,Tokyo,43
2024-12-11T16:00,Tokyo,42
2024-12-11T17:00,Tokyo,40
2024-12-11T18:00,Tokyo,39
2024-12-11T19:00,Tokyo,39
2024-12-11T20:00,Tokyo,40
2024-12-11T21:00,Tokyo,42
2024-12-11T22:00,Tokyo,45
2024-12-11T23:00,Tokyo,48
